mobile-broadband-provider-info 20190618-1
modemmanager 1.12.6-1
modemmanager-qt 5.67.0-1
mpfr 4.0.2-2
mtdev 1.1.6-1
nano 4.8-1
ncurses 6.2-1
ndctl 67-1
neofetch 7.0.0-1
neon 0.30.2-3
nettle 3.5.1-2
networkmanager 1.22.10-1
networkmanager-qt 5.67.0-1
node-gyp 6.1.0-1
nodejs 13.11.0-1
noto-fonts 20190926-4
npm 6.14.2-1
npth 1.6-2
nspr 4.25-1
nss 3.51-1
numactl 2.0.13-2
numlockx 1.2-5
nvidia-dkms 440.64-2
nvidia-utils 440.64-2
ocl-icd 2.2.12-3
openal 1.20.1-2
opencl-nvidia 440.64-2
opencore-amr 0.1.5-3
openexr 2.4.1-2
openjpeg2 2.3.1-1
openssh 8.2p1-3
openssl 1.1.1.d-2
opera-ffmpeg-codecs 80.0.3987.122-1
opus 1.3.1-1
orc 0.4.31-1
oxygen 5.18.3-1
p11-kit 0.23.20-3
p7zip 16.02-5
packagekit 1.1.13-1
packagekit-qt5 1.0.2-1
pacman 5.2.1-4
pacman-mirrorlist 20200207-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
parted 3.3-1
partitionmanager 4.1.0-1
patch 2.7.6-8
pciutils 3.6.4-1
pcre 8.43-2
pcre2 10.34-3
perl 5.30.1-1
perl-error 0.17029-1
perl-mailtools 2.21-2
perl-timedate 2.32-1
phonon-qt5 4.11.1-1
phonon-qt5-gstreamer 4.10.0-1
pinentry 1.1.0-5
pipewire 0.3.1-1
pixman 0.38.4-1
pkgconf 1.6.3-3
plasma-browser-integration 5.18.3-1
plasma-desktop 5.18.3-1
plasma-framework 5.67.0-2
plasma-integration 5.18.3-1
plasma-nm 5.18.3-1
plasma-pa 5.18.3-1
plasma-sdk 5.18.3-1
plasma-thunderbolt 5.18.3-1
plasma-vault 5.18.3-1
plasma-workspace 5.18.3-1
plasma-workspace-wallpapers 5.18.3-1
polkit 0.116-5
polkit-kde-agent 5.18.3-1
polkit-qt5 0.113.0-1
poppler 0.86.1-1
poppler-qt5 0.86.1-1
popt 1.16-12
powerdevil 5.18.3-1
powertop 2.11-1
ppp 2.4.7-7
primus 20151110-8
prison 5.67.0-1
procps-ng 3.3.16-1
psmisc 23.3-2
pulseaudio 13.0-3
purpose 5.67.0-1
pygobject-devel 3.36.0-1
python 3.8.2-1
python-dbus-common 1.2.16-1
python-docutils 0.14-4
python-gobject 3.36.0-1
python2 2.7.17-1
python2-cairo 1.18.2-4
python2-dbus 1.2.16-1
python2-gobject 3.36.0-1
python2-psutil 5.7.0-1
qca 2.3.0-1
qqc2-desktop-style 5.67.1-1
qrencode 4.0.2-1
qt5-base 5.14.1-3
qt5-declarative 5.14.1-1
qt5-graphicaleffects 5.14.1-1
qt5-location 5.14.1-1
qt5-multimedia 5.14.1-1
qt5-quickcontrols 5.14.1-1
qt5-quickcontrols2 5.14.1-1
qt5-script 5.14.1-1
qt5-sensors 5.14.1-1
qt5-speech 5.14.1-1
qt5-svg 5.14.1-1
qt5-tools 5.14.1-1
qt5-webchannel 5.14.1-1
qt5-webengine 5.14.1-2
qt5-x11extras 5.14.1-1
raptor 2.0.15-12
rasqal 1:0.9.33-2
re2 1:20200303-1
readline 8.0.004-1
redland 1:1.0.17-7
rest 0.8.1-1
ripgrep 11.0.2-1
rtkit 0.12-1
ruby 2.7.0-1
ruby-diff-lcs 1.3-4
ruby-manpages 0.6.1-3
ruby-optimist 3.0.0-2
ruby-paint 2.1.0-2
ruby-rainbow 3.0.0-5
ruby-rdoc 6.2.0-2
ruby-rspec 3.8.0-3
ruby-rspec-core 3.8.0-3
ruby-rspec-expectations 3.8.1-3
ruby-rspec-mocks 3.8.0-3
ruby-rspec-support 3.8.0-3
ruby-term-ansicolor 1.6.0-3
ruby-tins 1.16.3-3
rubygems 3.1.2-4
sbc 1.4-1
sddm 0.18.1-2
sddm-kcm 5.18.3-1
sdl2 2.0.12-1
sed 4.8-1
semver 7.1.3-1
shadow 4.8.1-1
shared-mime-info 1.15-2
signon-kwallet-extension 19.12.3-1
signon-plugin-oauth2 0.24-2
signon-ui 0.17+20171022-2
signond 8.60-1
slang 2.3.2-1
smartmontools 7.1-1
smbclient 4.10.10-2
snapd 2.43.3-1
snappy 1.1.8-1
socat 1.7.3.4-1
solid 5.67.0-1
sonnet 5.67.0-1
sound-theme-freedesktop 0.8-3
spectacle 19.12.3-1
speex 1.2.0-2
speexdsp 1.2.0-1
sqlite 3.31.1-1
squashfs-tools 4.4-1
startup-notification 0.12-6
steam 1.0.0.61-4
sudo 1.8.31-1
syntax-highlighting 5.67.0-1
sysfsutils 2.1.0-11
systemd 245-3
systemd-libs 245-3
systemd-sysvcompat 245-3
systemsettings 5.18.3-1
taglib 1.11.1-3
talloc 2.3.1-1
tar 1.32-3
tdb 1.3.18-4
tevent 1:0.9.39-4
texinfo 6.7-2
thin-provisioning-tools 0.8.5-3
threadweaver 5.67.0-1
tlp 1.3.1-2
tlpui-git 0.r123.945ff46-1
tslib 1.21-1
ttf-hack 3.003-1
ttf-liberation 2.1.0-1
tzdata 2019c-3
udisks2 2.8.4-2
unzip 6.0-13
upower 0.99.11-1
usbmuxd 1.1.0+69+g8a69f1a-1
usbutils 012-2
user-manager 5.18.3-1
util-linux 2.35.1-1
v4l-utils 1.18.0-1
vi 1:070224-4
vid.stab 1.1-2
vim 8.2.0343-1
vim-runtime 8.2.0343-1
virtualgl 2.6.3-1
volume_key 0.3.12-2
vte-common 0.60.0-1
vte3 0.60.0-1
vulkan-icd-loader 1.2.132-1
wayland 1.18.0-1
wayland-protocols 1.20-1
webkit2gtk 2.28.0-1
webrtc-audio-processing 0.3.1-1
which 2.21-5
wireless_tools 30.pre9-3
woff2 1.0.2-1
wpa_supplicant 2:2.9-7
wpebackend-fdo 1.4.1-1
x264 3:0.159.r2991.1771b55-1
x265 3.2.1-1
xcb-proto 1.14-1
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xdg-dbus-proxy 0.1.2-1
xdg-desktop-portal-kde 5.18.3-1
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 0.29.0-1
xf86-video-intel 1:2.99.917+899+gf66d3954-1
xf86-video-nouveau 1.0.16-1
xfsprogs 5.4.0-1
xkeyboard-config 2.29-1
xmlsec 1.2.29-1
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.2-1
xorg-font-utils 7.6-5
xorg-fonts-encodings 1.0.5-1
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-3
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.7-1
xorg-server-common 1.20.7-1
xorg-sessreg 1.1.2-1
xorg-setxkbmap 1.3.2-1
xorg-smproxy 1.0.6-2
xorg-x11perf 1.6.1-1
xorg-xauth 1.1-1
xorg-xbacklight 1.2.3-1
xorg-xcmsdb 1.0.5-2
xorg-xcursorgen 1.0.7-1
xorg-xdpyinfo 1.3.2-3
xorg-xdriinfo 1.0.6-1
xorg-xev 1.2.3-1
xorg-xgamma 1.0.6-2
xorg-xhost 1.0.8-1
xorg-xinit 1.4.1-1
xorg-xinput 1.6.3-1
xorg-xkbcomp 1.4.3-1
xorg-xkbevd 1.1.4-2
xorg-xkbutils 1.0.4-3
xorg-xkill 1.0.5-1
xorg-xlsatoms 1.1.3-1
xorg-xlsclients 1.1.4-1
xorg-xmessage 1.0.5-1
